ID,STID,OID,PUBMEDID,NCT,DISEASE,DRUG,DRUG2,TIMEWK,TransDV,RESPONSEFINAL,NTOTAL,NOC,BSL,AGE,Male,ECOG0,ECOG1,DSI,DSII,DSIII,DSIV
5,1,1,28162999,NCT00636168,Melanoma,ipilimumab,ICI,0,27.224778244917,78.4,951,446,78.4,51,62,UNK,UNK,0,0,100,0
5,1,1,28162999,NCT00636168,Melanoma,ipilimumab,ICI,4,23.1304213417786,76.07,951,400,78.4,51,62,UNK,UNK,0,0,100,0
5,1,1,28162999,NCT00636168,Melanoma,ipilimumab,ICI,7,17.4984320392855,71.55,951,360,78.4,51,62,UNK,UNK,0,0,100,0
5,1,1,28162999,NCT00636168,Melanoma,ipilimumab,ICI,10,15.5574603627272,69.52,951,356,78.4,51,62,UNK,UNK,0,0,100,0
5,1,1,28162999,NCT00636168,Melanoma,ipilimumab,ICI,24,18.2610331822141,74.16,951,300,78.4,51,62,UNK,UNK,0,0,100,0
5,1,1,28162999,NCT00636168,Melanoma,ipilimumab,ICI,36,17.9541032019385,74.16,951,290,78.4,51,62,UNK,UNK,0,0,100,0
5,1,1,28162999,NCT00636168,Melanoma,ipilimumab,ICI,48,17.892779441568,74.63,951,275,78.4,51,62,UNK,UNK,0,0,100,0
5,1,1,28162999,NCT00636168,Melanoma,ipilimumab,ICI,60,16.5883359854464,74.39,951,242,78.4,51,62,UNK,UNK,0,0,100,0
5,1,1,28162999,NCT00636168,Melanoma,ipilimumab,ICI,72,15.6000905453923,74.25,951,217,78.4,51,62,UNK,UNK,0,0,100,0
5,1,1,28162999,NCT00636168,Melanoma,ipilimumab,ICI,84,16.2927262789105,75.73,951,205,78.4,51,62,UNK,UNK,0,0,100,0
5,1,1,28162999,NCT00636168,Melanoma,ipilimumab,ICI,96,15.1092759537845,74.48,951,199,78.4,51,62,UNK,UNK,0,0,100,0
5,1,1,28162999,NCT00636168,Melanoma,ipilimumab,ICI,108,13.254781687936,74.1,951,159,78.4,51,62,UNK,UNK,0,0,100,0
5,1,2,28162999,NCT00636168,Melanoma,control,control,0,25.2256264134144,76.85,951,442,76.85,52,62,UNK,UNK,0,0,100,0
5,1,2,28162999,NCT00636168,Melanoma,control,control,4,26.5113812612598,78.45,951,421,76.85,52,62,UNK,UNK,0,0,100,0
5,1,2,28162999,NCT00636168,Melanoma,control,control,7,24.4916709257155,76.97,951,412,76.85,52,62,UNK,UNK,0,0,100,0
5,1,2,28162999,NCT00636168,Melanoma,control,control,10,24.7550273066034,77.41,951,404,76.85,52,62,UNK,UNK,0,0,100,0
5,1,2,28162999,NCT00636168,Melanoma,control,control,24,24.2456631651302,78.61,951,347,76.85,52,62,UNK,UNK,0,0,100,0
5,1,2,28162999,NCT00636168,Melanoma,control,control,36,23.0040733866326,78.8,951,307,76.85,52,62,UNK,UNK,0,0,100,0
5,1,2,28162999,NCT00636168,Melanoma,control,control,48,20.7953785047816,77.76,951,276,76.85,52,62,UNK,UNK,0,0,100,0
5,1,2,28162999,NCT00636168,Melanoma,control,control,60,21.1669893961661,79.01,951,255,76.85,52,62,UNK,UNK,0,0,100,0
5,1,2,28162999,NCT00636168,Melanoma,control,control,72,20.0512913080483,78.13,951,248,76.85,52,62,UNK,UNK,0,0,100,0
5,1,2,28162999,NCT00636168,Melanoma,control,control,84,19.8623069614484,78.89,951,227,76.85,52,62,UNK,UNK,0,0,100,0
5,1,2,28162999,NCT00636168,Melanoma,control,control,96,19.1712410333149,78.76,951,214,76.85,52,62,UNK,UNK,0,0,100,0
5,1,2,28162999,NCT00636168,Melanoma,control,control,108,17.5909966949887,79.08,951,175,76.85,52,62,UNK,UNK,0,0,100,0
1,2,3,39021272,NCT03071406,MCC,Nivo+Ipi,ICI,0,4.51232781660676,71.1455913,50,25,71.1455913,UNK,80,UNK,UNK,UNK,UNK,UNK,UNK
1,2,3,39021272,NCT03071406,MCC,Nivo+Ipi,ICI,12,4.64840575385856,71.701059342,50,25,71.1455913,UNK,80,UNK,UNK,UNK,UNK,UNK,UNK
1,2,3,39021272,NCT03071406,MCC,Nivo+Ipi,ICI,16,4.70829113385487,71.943448977,50,25,71.1455913,UNK,80,UNK,UNK,UNK,UNK,UNK,UNK
1,2,3,39021272,NCT03071406,MCC,Nivo+Ipi,ICI,32,5.13786454798444,73.644508324,50,25,71.1455913,UNK,80,UNK,UNK,UNK,UNK,UNK,UNK
1,2,4,39021272,NCT03071406,MCC,Nivo+Ipi,ICI,0,1.78979046001773,58.8546056,50,25,58.8546056,UNK,76,UNK,UNK,UNK,UNK,UNK,UNK
1,2,4,39021272,NCT03071406,MCC,Nivo+Ipi,ICI,12,1.47595002171843,57.326625448,50,25,58.8546056,UNK,76,UNK,UNK,UNK,UNK,UNK,UNK
1,2,4,39021272,NCT03071406,MCC,Nivo+Ipi,ICI,16,1.0805454841578,55.381798133,50,25,58.8546056,UNK,76,UNK,UNK,UNK,UNK,UNK,UNK
